LV,days,no_prestart_days,mismatch_days,base_score,streak_bonus,risk_score,window
NCH 70,13,13,0,26,1,27,2025-09-01 → 2025-09-14
NCH 35,13,12,0,24,1,25,2025-09-01 → 2025-09-14
NCH 46,14,12,0,24,1,25,2025-09-01 → 2025-09-14
NCH 65,13,11,2,24,1,25,2025-09-01 → 2025-09-14
NCH 52,14,11,0,22,1,23,2025-09-01 → 2025-09-14
NCH 55,14,9,3,21,1,22,2025-09-01 → 2025-09-14
NCH 31,13,10,0,20,1,21,2025-09-01 → 2025-09-14
NCH 39,12,8,4,20,1,21,2025-09-01 → 2025-09-14
NCH 42,14,9,1,19,1,20,2025-09-01 → 2025-09-14
NCH 71,13,9,0,18,1,19,2025-09-01 → 2025-09-14
NCH 43,14,7,4,18,1,19,2025-09-01 → 2025-09-14
NCH 53,14,8,1,17,1,18,2025-09-01 → 2025-09-14
NCH 61,11,8,0,16,1,17,2025-09-01 → 2025-09-14
NCH 64,14,7,2,16,1,17,2025-09-01 → 2025-09-14
NCH 44,7,7,0,14,1,15,2025-09-01 → 2025-09-14
NCH 54,14,4,5,13,0,13,2025-09-01 → 2025-09-14
NCH 40,14,5,1,11,1,12,2025-09-01 → 2025-09-14
NCH 67,13,5,1,11,0,11,2025-09-01 → 2025-09-14
NCH 36,12,2,6,10,0,10,2025-09-01 → 2025-09-14
NCH 37,14,3,3,9,0,9,2025-09-01 → 2025-09-14
NCH 58,14,4,0,8,0,8,2025-09-01 → 2025-09-14
NCH 66,14,3,1,7,0,7,2025-09-01 → 2025-09-14
NCH 69,12,3,1,7,0,7,2025-09-01 → 2025-09-14
NCH 38,13,3,0,6,0,6,2025-09-01 → 2025-09-14
NCH 56,14,2,2,6,0,6,2025-09-01 → 2025-09-14
NCH 41,14,2,0,4,0,4,2025-09-01 → 2025-09-14
NCH 28,14,1,0,2,0,2,2025-09-01 → 2025-09-14
NCH 45,1,1,0,2,0,2,2025-09-01 → 2025-09-14
